Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BundleInfo.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,32,6,7,6,0,19,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,2.71,0,0,0,0
File,"BundleInfoImpl.java",1,1,1,1,3,0,3,0,,,,,1,0,0,14,,14,14,4,14,,0,0,0,14,,95,20,56,21,20,19,,,,26,41,21,20,,,,,,1,1,1,1,,,0,,,,0.34,14,14,14,14
File,"BundleInfoImpl.java",1,1,1,1,3,0,3,0,,,,,1,0,0,14,,14,14,4,14,,0,0,0,14,,95,20,56,21,20,19,,,,26,41,21,20,,,,,,1,1,1,1,,,0,,,,0.34,14,14,14,14
File,"BundleLevel.java",11,11,13,11,44,1,42,1,,,,,1,0,0,1,,1,1,1,1,,0,0,1,0,,76,6,53,16,31,17,,,,31,39,14,25,,,,,,11,11,13,11,,,4,,,,0.32,11,11,13,11
File,"BundleSelector.java",4,4,5,2,23,2,16,4,,,,,1,0,0,6,,6,6,2,6,,0,4,0,2,,178,23,113,42,69,42,,,,61,89,46,43,,,,,,9,9,13,5,,,5,,,,0.37,25,25,32,12
File,"BundleStateListener.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,3,3,0,3,,3,0,0,0,,33,8,9,7,0,16,,,,5,7,7,0,,,,,,0,0,0,0,,,0,,,,1.78,0,0,0,0
File,"BundleToArtifactTest.java",1,1,1,1,8,0,8,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,83,9,56,24,31,20,,,,41,47,21,26,,,,,,1,1,1,1,,,0,,,,0.36,5,5,5,5
File,"BundleWatcher.java",2,2,2,1,10,0,8,1,,,,,1,0,0,22,,22,22,7,22,,0,0,3,19,,323,33,232,86,122,58,,,,116,173,91,82,,,,,,13,13,16,3,,,6,,,,0.25,51,51,58,26
File,"Bundles.java",7,2,7,1,14,0,11,3,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,40,3,15,4,8,22,,,,9,12,4,8,,,,,,7,2,7,1,,,1,,,,1.47,7,2,7,1
File,"BundlesCommand.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,2,2,2,2,,0,0,2,0,,42,7,19,15,4,16,,,,13,15,13,2,,,,,,1,1,1,1,,,0,,,,0.84,1,1,1,1
