FigureAttributes.java: CH.ifa.draw.figures Figure.java: CH.ifa.draw.framework 1->2: 19  2->1: 8
AbstractFigure.java: CH.ifa.draw.standard FigureEnumerator.java: CH.ifa.draw.standard 1->2: 2  2->1: 12
SelectAreaTracker.java: CH.ifa.draw.standard SelectionTool.java: CH.ifa.draw.standard 1->2: 16  2->1: 6
SelectAreaTracker.java: CH.ifa.draw.standard AbstractTool.java: CH.ifa.draw.standard 1->2: 7  2->1: 19
PertFigure.java: CH.ifa.draw.samples.pert StorableOutput.java: CH.ifa.draw.util 1->2: 16  2->1: 10
PolyLineFigure.java: CH.ifa.draw.figures StorableOutput.java: CH.ifa.draw.util 1->2: 13  2->1: 10
ConnectionFigure.java: CH.ifa.draw.framework LineConnectionTest.java: CH.ifa.draw.test.figures 1->2: 113  2->1: 0
ChangeConnectionHandle.java: CH.ifa.draw.standard AbstractHandle.java: CH.ifa.draw.standard 1->2: 52  2->1: 33
JPanelDesktop.java: CH.ifa.draw.contrib DesktopEventService.java: CH.ifa.draw.contrib 1->2: 15  2->1: 54
EllipseFigureGeometricAdapter.java: CH.ifa.draw.contrib.html EllipseFigure.java: CH.ifa.draw.figures 1->2: 0  2->1: 20
JHDDropTargetListener.java: CH.ifa.draw.contrib.dnd Undoable.java: CH.ifa.draw.util 1->2: 0  2->1: 39
AllTests.java: CH.ifa.draw.test AllTests.java: CH.ifa.draw.test.util.collections.jdk12 1->2: 7  2->1: 42
CommandChoiceTest.java: CH.ifa.draw.test.util CommandChoice.java: CH.ifa.draw.util 1->2: 0  2->1: 32
DrawApplication.java: CH.ifa.draw.application ToolButtonTest.java: CH.ifa.draw.test.standard 1->2: 52  2->1: 0
CreationTool.java: CH.ifa.draw.standard UndoableToolTest.java: CH.ifa.draw.test.util 1->2: 49  2->1: 0
NullDrawingView.java: CH.ifa.draw.standard NullDrawingViewTest.java: CH.ifa.draw.test.standard 1->2: 651  2->1: 0
Painter.java: CH.ifa.draw.framework StandardDrawingView.java: CH.ifa.draw.standard 1->2: 92  2->1: 3
AllTests.java: CH.ifa.draw.test AllTests.java: CH.ifa.draw.test.util.collections.jdk11 1->2: 11  2->1: 42
AllTests.java: CH.ifa.draw.test.samples.javadraw AllTests.java: CH.ifa.draw.test.samples.nothing 1->2: 8  2->1: 15
DrawApplication.java: CH.ifa.draw.application JavaDrawAppTest.java: CH.ifa.draw.test.samples.javadraw 1->2: 20  2->1: 0
AllTests.java: CH.ifa.draw.test.samples.nothing AllTests.java: CH.ifa.draw.test.util.collections.jdk12 1->2: 7  2->1: 8
AbstractCommand.java: CH.ifa.draw.standard DeleteCommand.java: CH.ifa.draw.standard 1->2: 23  2->1: 5
ToolButton.java: CH.ifa.draw.standard ToolButtonTest.java: CH.ifa.draw.test.standard 1->2: 179  2->1: 0
CutCommand.java: CH.ifa.draw.standard CutCommandTest.java: CH.ifa.draw.test.standard 1->2: 32  2->1: 0
AllTests.java: CH.ifa.draw.test.samples.javadraw AllTests.java: CH.ifa.draw.test.samples.net 1->2: 8  2->1: 15
TextHolderContentProducer.java: CH.ifa.draw.contrib.html StorableOutput.java: CH.ifa.draw.util 1->2: 13  2->1: 3
DrawApplet.java: CH.ifa.draw.applet JavaDrawApplet.java: CH.ifa.draw.samples.javadraw 1->2: 55  2->1: 8
RectangleFigure.java: CH.ifa.draw.figures RectangleFigureTest.java: CH.ifa.draw.test.figures 1->2: 90  2->1: 0
AbstractFigure.java: CH.ifa.draw.standard Geom.java: CH.ifa.draw.util 1->2: 5  2->1: 11
OffsetLocator.java: CH.ifa.draw.standard OffsetLocatorTest.java: CH.ifa.draw.test.standard 1->2: 78  2->1: 0
AllTests.java: CH.ifa.draw.test AllTests.java: CH.ifa.draw.test.framework 1->2: 9  2->1: 42
GraphLayout.java: CH.ifa.draw.util GraphLayout.java: CH.ifa.draw.util 1->2: 0  2->1: 26
ChangeAttributeCommand.java: CH.ifa.draw.standard ChangeAttributeCommandTest.java: CH.ifa.draw.test.standard 1->2: 32  2->1: 0
DrawApplication.java: CH.ifa.draw.application NullDrawingView.java: CH.ifa.draw.standard 1->2: 12  2->1: 265
DrawingView.java: CH.ifa.draw.framework MDIDesktopPaneTest.java: CH.ifa.draw.test.contrib 1->2: 55  2->1: 0
AttributeFigure.java: CH.ifa.draw.figures ImageFigure.java: CH.ifa.draw.figures 1->2: 22  2->1: 21
JHDTestCase.java: CH.ifa.draw.test LocatorHandleTest.java: CH.ifa.draw.test.standard 1->2: 12  2->1: 2
FigureChangeListener.java: CH.ifa.draw.framework CompositeFigure.java: CH.ifa.draw.standard 1->2: 14  2->1: 7
DrawingView.java: CH.ifa.draw.framework PatternPainterTest.java: CH.ifa.draw.test.samples.javadraw 1->2: 21  2->1: 0
InsertImageCommand.java: CH.ifa.draw.figures AbstractCommand.java: CH.ifa.draw.standard 1->2: 3  2->1: 17
JHDTestCase.java: CH.ifa.draw.test PertFigureCreationToolTest.java: CH.ifa.draw.test.samples.pert 1->2: 13  2->1: 2
Helper.java: CH.ifa.draw.contrib HelperTest.java: CH.ifa.draw.test.contrib 1->2: 18  2->1: 0
NumberTextFigure.java: CH.ifa.draw.figures NumberTextFigureTest.java: CH.ifa.draw.test.figures 1->2: 33  2->1: 0
ToolButton.java: CH.ifa.draw.standard Iconkit.java: CH.ifa.draw.util 1->2: 23  2->1: 17
PertFigure.java: CH.ifa.draw.samples.pert CompositeFigure.java: CH.ifa.draw.standard 1->2: 58  2->1: 79
