Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BaseTypes.java",BaseTypes.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,10,0,,0,0,0,0,,24,1,13,12,10,20,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,1.54,0,0,0,0
File,"BasicCompilationUnit.java",BasicCompilationUnit.java,1,1,1,1,6,0,5,1,,,,,1,0,0,6,,6,6,5,6,,0,0,0,6,,71,8,47,20,21,22,,,,27,38,20,18,,,,,,3,3,4,3,,,1,,,,0.47,10,10,11,8
File,"BatchImageBuilder.java",BatchImageBuilder.java,4,4,5,3,26,1,24,1,,,,,5,0,0,12,,12,12,0,12,,0,0,6,6,,256,22,222,51,171,24,,,,124,178,58,120,,,,,,11,11,15,11,,,3,,,,0.11,57,54,64,38
File,"BatchOperation.java",BatchOperation.java,2,2,2,1,8,0,7,0,,,,,1,0,0,3,,3,3,1,3,,0,0,2,1,,59,6,32,12,13,21,,,,14,22,12,10,,,,,,5,5,5,1,,,4,,,,0.66,7,7,7,3
File,"BecomeWorkingCopyOperation.java",BecomeWorkingCopyOperation.java,1,1,1,1,7,0,5,2,,,,,1,0,0,4,,4,4,2,4,,0,0,2,2,,63,8,29,14,12,27,,,,19,24,14,10,,,,,,1,1,1,1,,,0,,,,0.93,4,4,4,4
File,"BinaryExpression.java",BinaryExpression.java,16,12,18,4,85,1,76,9,,,,,1,0,0,20,,20,20,3,20,,0,0,0,20,,1755,49,1530,103,1238,193,,,,582,830,50,780,,,,,,121,82,145,13,,,6,,,,0.13,327,248,371,87
File,"BinaryExpressionFragmentBuilder.java",BinaryExpressionFragmentBuilder.java,1,1,1,1,5,0,5,0,,,,,1,0,0,35,,35,35,2,35,,1,1,0,33,,265,39,220,101,82,6,,,,116,156,79,77,,,,,,2,2,2,1,,,1,,,,0.03,39,39,39,35
File,"BinaryField.java",BinaryField.java,1,1,1,1,7,0,5,3,,,,,1,0,0,8,,8,8,0,8,,0,0,3,5,,87,4,49,17,24,38,,,,24,37,17,20,,,,,,4,4,4,1,,,2,,,,0.78,12,12,12,8
File,"BinaryIndexer.java",BinaryIndexer.java,7,5,7,3,27,0,23,3,,,,,1,0,11,19,,19,19,1,19,,0,14,1,4,,558,9,476,94,362,86,,,,258,353,106,247,,,,,,27,18,27,23,,,5,,,,0.18,136,95,137,70
File,"BinaryMember.java",BinaryMember.java,1,1,1,1,8,0,5,3,,,,,1,0,0,10,,10,10,0,10,,0,0,2,8,,111,6,59,22,27,47,,,,29,45,22,23,,,,,,4,4,4,3,,,1,,,,0.80,15,15,15,12
File,"BinaryMethod.java",BinaryMethod.java,2,2,2,1,12,0,10,2,,,,,2,0,1,20,,20,20,5,20,,0,0,3,17,,312,15,223,76,119,83,,,,113,165,67,98,,,,,,9,9,10,1,,,5,,,,0.37,51,51,55,20
File,"BinaryType.java",BinaryType.java,1,1,1,1,11,0,8,3,,,,,1,0,5,49,,49,49,0,49,,0,0,4,45,,603,18,413,148,243,185,,,,194,285,137,148,,,,,,9,9,11,8,,,3,,,,0.45,88,88,93,60
File,"BinaryTypeBinding.java",BinaryTypeBinding.java,6,6,6,1,19,1,18,2,,,,,1,0,0,22,,22,22,7,22,,3,5,0,14,,509,47,414,87,303,84,,,,256,373,114,259,,,,,,29,29,31,10,,,5,,,,0.20,137,137,149,39
File,"Binding.java",Binding.java,1,1,1,1,3,0,3,0,,,,,1,0,0,3,,5,5,0,5,,0,0,0,5,,45,4,14,7,3,27,,,,6,10,7,3,,,,,,1,1,1,1,,,0,,,,1.93,3,3,3,3
File,"BindingIds.java",BindingIds.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,7,0,,0,0,0,0,,21,1,10,9,7,10,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,1.00,0,0,0,0
File,"BindingResolver.java",BindingResolver.java,1,1,1,1,17,0,2,15,,,,,1,0,0,30,,30,30,1,30,,29,0,1,0,,592,30,92,35,26,470,,,,30,61,35,26,,,,,,1,1,1,1,,,0,,,,5.11,30,30,30,30
File,"Block.java",Block.java,1,1,1,1,5,0,3,2,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,61,5,24,11,7,32,,,,12,18,11,7,,,,,,1,1,1,1,,,0,,,,1.33,5,5,5,5
File,"Block.java",Block.java,1,1,1,1,6,0,4,2,,,,,1,0,0,8,,8,8,1,8,,5,0,0,3,,114,13,39,15,17,62,,,,17,27,14,13,,,,,,2,2,2,1,,,1,,,,1.59,9,9,9,8
File,"Block.java",Block.java,2,2,2,1,10,0,8,1,,,,,1,1,0,11,,11,10,3,11,,0,0,0,11,,146,24,102,29,51,23,,,,52,81,30,51,,,,,,5,5,5,1,,,3,,,,0.23,29,29,29,11
File,"BlockScope.java",BlockScope.java,6,6,7,4,29,2,24,2,,,,,1,0,3,31,,31,31,8,31,,3,1,1,26,,1139,104,792,160,589,276,,,,324,508,145,363,,,,,,31,29,40,22,,,7,,,,0.35,193,191,231,144
File,"BlocksIndexInput.java",BlocksIndexInput.java,3,3,3,1,14,0,11,3,,,,,1,0,1,24,,24,24,9,24,,0,0,7,17,,390,14,294,97,198,87,,,,181,253,101,152,,,,,,12,11,14,10,,,5,,,,0.30,73,72,77,46
File,"BlocksIndexOutput.java",BlocksIndexOutput.java,2,2,2,1,14,0,11,3,,,,,1,0,0,9,,9,9,12,9,,0,0,2,7,,167,5,119,26,74,45,,,,70,93,26,67,,,,,,6,6,6,4,,,2,,,,0.38,22,22,24,14
