project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
nutch,Public Static Class,org.apache.nutch.crawl.Generator.GeneratorOutputFormat,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,9,1,7,4,1,1,1,3,2,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.14,1,1,1,1,False
nutch,Public Static Class,org.apache.nutch.crawl.Generator.HashComparator,2.0,2.0,2.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,,1.0,0.0,3.0,0.0,4.0,4.0,3.0,0.0,4.0,4.0,0.0,1.0,0.0,3.0,30,3,23,12,13,4,14,20,13,3.0,3.0,3.0,1.0,2.0,1,0.0,0.0,0.17,9,9,9,4,False
nutch,Public Static Class,org.apache.nutch.crawl.Generator.PartitionReducer,2.0,2.0,2.0,1.0,10.0,0.0,7.0,3.0,2.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15,2,10,5,3,3,2,5,3,2.0,2.0,2.0,1.0,2.0,1,0.0,0.0,0.3,2,2,2,1,False
nutch,Public Static Class,org.apache.nutch.crawl.Generator.Selector,6.0,6.0,7.0,3.0,34.0,3.0,26.0,4.0,4.0,13.0,0.0,,0.0,0.0,5.0,21.0,5.0,5.0,5.0,21.0,5.0,5.0,0.0,0.0,0.0,5.0,202,21,160,47,111,24,90,122,39,13.0,13.0,16.0,8.0,1.0,5,64.0,64.0,0.15,31,31,36,19,False
nutch,Public Static Class,org.apache.nutch.crawl.Generator.SelectorEntry,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,1.0,0.0,,0.0,0.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,4.0,28,4,24,8,11,0,13,18,8,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,4,4,4,4,False
nutch,Public Static Class,org.apache.nutch.crawl.Generator.SelectorInverseMapper,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9,1,8,5,2,0,2,4,3,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,1,1,1,1,False
nutch,Public Class,org.apache.nutch.crawl.Injector,2.0,2.0,2.0,1.0,13.0,1.0,11.0,0.0,2.0,7.0,0.0,,1.0,3.0,4.0,0.0,5.0,5.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,232,23,171,54,117,43,97,134,50,4.0,4.0,4.0,3.0,2.0,1,100.0,100.0,0.25,10,10,10,7,False
nutch,Public Static Class,org.apache.nutch.crawl.Injector.InjectMapper,6.0,6.0,6.0,2.0,27.0,0.0,24.0,3.0,2.0,6.0,0.0,,0.0,0.0,3.0,7.0,3.0,3.0,3.0,7.0,3.0,3.0,0.0,0.0,0.0,3.0,94,5,82,25,55,11,46,65,24,16.0,16.0,17.0,5.0,1.0,4,38.0,38.0,0.13,18,18,19,7,False
nutch,Public Static Class,org.apache.nutch.crawl.Injector.InjectReducer,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,2.0,1.0,0.0,,0.0,0.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,29,3,25,11,15,2,12,19,9,4.0,4.0,4.0,1.0,1.0,2,66.0,66.0,0.08,6,6,6,3,False
nutch,Public Class,org.apache.nutch.crawl.Inlink,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,,2.0,0.0,9.0,2.0,11.0,11.0,9.0,2.0,11.0,11.0,0.0,0.0,0.0,11.0,71,12,42,16,21,19,20,33,16,2.0,2.0,3.0,1.0,1.0,1,36.0,27.0,0.45,12,12,13,11,False
nutch,Class,org.apache.nutch.crawl.InlinkPriorityQueue,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,14,3,10,5,4,1,4,7,5,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.1,2,2,2,2,False
nutch,Public Class,org.apache.nutch.crawl.Inlinks,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,2.0,1.0,0.0,,0.0,0.0,9.0,1.0,9.0,9.0,9.0,1.0,9.0,9.0,0.0,0.0,0.0,9.0,91,12,60,23,41,23,34,52,23,6.0,6.0,6.0,3.0,1.0,2,0.0,0.0,0.38,17,17,17,11,False
