project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.Home.Home.(Anon_11).populateItem.(Anon_12),2.0,2.0,2.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,7.0,0.0,4.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2,2,2,1,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.Home.Home.(Anon_9),1.0,1.0,1.0,1.0,13.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,300.0,1.0,1.0,0.0,0.0,0.0,1.0,18.0,2.0,16.0,0.0,10.0,0.0,5.0,7.0,5.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1,1,1,1,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.Home.Home.(Anon_9).onClick.(Anon_10),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
wicket,Private Class,org.apache.wicket.threadtest.apps.app1.Home.InputForm,1.0,1.0,1.0,1.0,71.0,8.0,55.0,8.0,1.0,18.0,0.0,0.0,1.0,2.0,356.0,2.0,0.0,0.0,0.0,0.0,2.0,153.0,18.0,115.0,18.0,78.0,20.0,55.0,65.0,29.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.17,2,2,2,2,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.Home.InputForm.InputForm.(Anon_2),1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,300.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,8.0,1.0,5.0,0.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1,1,1,1,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.Home.InputForm.InputForm.(Anon_3),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,302.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,8.0,0.0,6.0,0.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1,1,1,1,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.Home.InputForm.InputForm.(Anon_4),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,302.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,8.0,0.0,6.0,0.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1,1,1,1,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.Home.InputForm.InputForm.(Anon_5),1.0,1.0,1.0,1.0,32.0,2.0,22.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0,36.0,3.0,25.0,0.0,13.0,8.0,6.0,10.0,5.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.32,1,1,1,1,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.Home.InputForm.InputForm.(Anon_5).getConverter.(Anon_6),2.0,2.0,2.0,1.0,11.0,0.0,7.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,27.0,2.0,17.0,0.0,8.0,8.0,4.0,7.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.47,4,4,4,2,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.Home.InputForm.InputForm.(Anon_7),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,7.0,0.0,4.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1,1,1,1,False
