CsvInputArchive.java: org.apache.hadoop.record RecordReader.java: org.apache.hadoop.record 1->2: 5  2->1: 38
MetricsRecordImpl.java: org.apache.hadoop.metrics.spi AbstractMetricsContext.java: org.apache.hadoop.metrics.spi 1->2: 56  2->1: 11
DFSck.java: org.apache.hadoop.dfs DatanodeInfo.java: org.apache.hadoop.dfs 1->2: 9  2->1: 28
FileSystem.java: org.apache.hadoop.fs TestSequenceFileInputFilter.java: org.apache.hadoop.mapred 1->2: 69  2->1: 0
TestStreaming.java: org.apache.hadoop.streaming Configuration.java: org.apache.hadoop.conf 1->2: 1  2->1: 48
Path.java: org.apache.hadoop.fs FileSplit.java: org.apache.hadoop.mapred 1->2: 58  2->1: 5
DataOutputBuffer.java: org.apache.hadoop.io TestText.java: org.apache.hadoop.io 1->2: 48  2->1: 0
OutputArchive.java: org.apache.hadoop.record RecInt.java: org.apache.hadoop.record.test 1->2: 9  2->1: 10
StreamSequenceRecordReader.java: org.apache.hadoop.streaming StreamBaseRecordReader.java: org.apache.hadoop.streaming 1->2: 7  2->1: 9
Path.java: org.apache.hadoop.fs TestFileSystem.java: org.apache.hadoop.fs 1->2: 155  2->1: 0
SequenceFile.java: org.apache.hadoop.io TestMapRed.java: org.apache.hadoop.record.test 1->2: 14  2->1: 0
PipeMapRed.java: org.apache.hadoop.streaming FileSystem.java: org.apache.hadoop.fs 1->2: 1  2->1: 54
FileSystem.java: org.apache.hadoop.fs SequenceFile.java: org.apache.hadoop.io 1->2: 237  2->1: 0
DataNode.java: org.apache.hadoop.dfs ClusterTestDFSNamespaceLogging.java: org.apache.hadoop.dfs 1->2: 33  2->1: 5
JVector.java: org.apache.hadoop.record.compiler Rcc.java: org.apache.hadoop.record.compiler.generated 1->2: 4  2->1: 14
WritableComparator.java: org.apache.hadoop.io RandomDatum.java: org.apache.hadoop.io 1->2: 28  2->1: 5
CombiningCollector.java: org.apache.hadoop.mapred MapTask.java: org.apache.hadoop.mapred 1->2: 23  2->1: 0
TaskReport.java: org.apache.hadoop.mapred LocalJobRunner.java: org.apache.hadoop.mapred 1->2: 16  2->1: 0
FSDataOutputStream.java: org.apache.hadoop.fs FileSystem.java: org.apache.hadoop.fs 1->2: 95  2->1: 72
SequenceFile.java: org.apache.hadoop.io PiEstimator.java: org.apache.hadoop.mapred 1->2: 14  2->1: 0
Configuration.java: org.apache.hadoop.conf LogFormatter.java: org.apache.hadoop.util 1->2: 86  2->1: 0
OutputArchive.java: org.apache.hadoop.record RecBuffer.java: org.apache.hadoop.record.test 1->2: 9  2->1: 10
Grep.java: org.apache.hadoop.examples UTF8.java: org.apache.hadoop.io 1->2: 0  2->1: 50
BinaryInputArchive.java: org.apache.hadoop.record RecInt.java: org.apache.hadoop.record.test 1->2: 11  2->1: 3
