jdbcResultSet.java: org.hsqldb jdbcConnection.java: org.hsqldb 1->2: 135  2->1: 70
Expression.java: org.hsqldb Column.java: org.hsqldb 1->2: 12  2->1: 76
Transaction.java: org.hsqldb Session.java: org.hsqldb 1->2: 61  2->1: 1
ByteArray.java: org.hsqldb TextDatabaseRowInput.java: org.hsqldb 1->2: 23  2->1: 0
Database.java: org.hsqldb Transfer.java: org.hsqldb.util 1->2: 11  2->1: 15
Constraint.java: org.hsqldb HsqlName.java: org.hsqldb 1->2: 0  2->1: 23
Database.java: org.hsqldb DatabaseManager.java: org.hsqldb.util 1->2: 59  2->1: 48
ReverseTextCache.java: org.hsqldb Log.java: org.hsqldb 1->2: 31  2->1: 8
Result.java: org.hsqldb ScriptTool.java: org.hsqldb.util 1->2: 34  2->1: 0
Transfer.java: org.hsqldb.util ConnectionDialog.java: org.hsqldb.util 1->2: 19  2->1: 41
TestSelf.java: org.hsqldb.test TestHsql.java: org.hsqldb.test 1->2: 127  2->1: 236
Database.java: org.hsqldb ServerConnection.java: org.hsqldb 1->2: 24  2->1: 38
UserManager.java: org.hsqldb User.java: org.hsqldb 1->2: 14  2->1: 85
Node.java: org.hsqldb Index.java: org.hsqldb 1->2: 249  2->1: 21
Database.java: org.hsqldb DatabaseInformation.java: org.hsqldb 1->2: 40  2->1: 8
jdbcConnection.java: org.hsqldb jdbcStatement.java: org.hsqldb 1->2: 108  2->1: 154
jdbcResultSet.java: org.hsqldb AsciiStringInputStream.java: org.hsqldb.lib 1->2: 0  2->1: 143
jdbcConnection.java: org.hsqldb Session.java: org.hsqldb 1->2: 29  2->1: 165
Trace.java: org.hsqldb jdbcPreparedStatement.java: org.hsqldb 1->2: 1046  2->1: 2
Trace.java: org.hsqldb Constraint.java: org.hsqldb 1->2: 52  2->1: 8
Trace.java: org.hsqldb WebServer.java: org.hsqldb 1->2: 82  2->1: 19
Result.java: org.hsqldb DatabaseManagerSwing.java: org.hsqldb.util 1->2: 391  2->1: 0
TableWorks.java: org.hsqldb HsqlName.java: org.hsqldb 1->2: 0  2->1: 42
Index.java: org.hsqldb Database.java: org.hsqldb 1->2: 160  2->1: 2
Database.java: org.hsqldb TransferSQLText.java: org.hsqldb.util 1->2: 6  2->1: 36
BinaryDatabaseRowOutput.java: org.hsqldb DatabaseRowOutput.java: org.hsqldb 1->2: 35  2->1: 35
DataAccessPointException.java: org.hsqldb.util TransferDb.java: org.hsqldb.util 1->2: 81  2->1: 0
UserManager.java: org.hsqldb Database.java: org.hsqldb 1->2: 236  2->1: 4
Expression.java: org.hsqldb TableFilter.java: org.hsqldb 1->2: 240  2->1: 33
ScriptTool.java: org.hsqldb.util QueryTool.java: org.hsqldb.util 1->2: 17  2->1: 16
Parser.java: org.hsqldb TableFilter.java: org.hsqldb 1->2: 6  2->1: 51
TransferTable.java: org.hsqldb.util Transfer.java: org.hsqldb.util 1->2: 34  2->1: 56
DatabaseScript.java: org.hsqldb User.java: org.hsqldb 1->2: 0  2->1: 30
HsqlProperties.java: org.hsqldb Database.java: org.hsqldb 1->2: 23  2->1: 2
Trace.java: org.hsqldb Log.java: org.hsqldb 1->2: 230  2->1: 8
HsqlProperties.java: org.hsqldb HsqlDatabaseProperties.java: org.hsqldb 1->2: 35  2->1: 7
Result.java: org.hsqldb QueryTool.java: org.hsqldb.util 1->2: 146  2->1: 0
UserManager.java: org.hsqldb DatabaseInformation.java: org.hsqldb 1->2: 90  2->1: 0
Result.java: org.hsqldb DatabaseManager.java: org.hsqldb.util 1->2: 370  2->1: 0
Parser.java: org.hsqldb Database.java: org.hsqldb 1->2: 30  2->1: 48
Select.java: org.hsqldb Result.java: org.hsqldb 1->2: 2  2->1: 173
TriggerDef.java: org.hsqldb Parser.java: org.hsqldb 1->2: 18  2->1: 8
Index.java: org.hsqldb Table.java: org.hsqldb 1->2: 240  2->1: 31
Parser.java: org.hsqldb HsqlName.java: org.hsqldb 1->2: 0  2->1: 100
Trace.java: org.hsqldb Transfer.java: org.hsqldb.util 1->2: 101  2->1: 20
TextTable.java: org.hsqldb Database.java: org.hsqldb 1->2: 237  2->1: 6
TransferDb.java: org.hsqldb.util Transfer.java: org.hsqldb.util 1->2: 15  2->1: 9
UserManager.java: org.hsqldb DatabaseScript.java: org.hsqldb 1->2: 88  2->1: 0
DatabaseManagerSwing.java: org.hsqldb.util GridSwing.java: org.hsqldb.util 1->2: 2  2->1: 22
BinaryDatabaseRowInput.java: org.hsqldb ByteArray.java: org.hsqldb 1->2: 0  2->1: 23
HsqlName.java: org.hsqldb Table.java: org.hsqldb 1->2: 42  2->1: 4
Table.java: org.hsqldb Database.java: org.hsqldb 1->2: 586  2->1: 27
Constraint.java: org.hsqldb Table.java: org.hsqldb 1->2: 238  2->1: 55
Function.java: org.hsqldb Expression.java: org.hsqldb 1->2: 45  2->1: 62
Transfer.java: org.hsqldb.util DatabaseManager.java: org.hsqldb.util 1->2: 35  2->1: 30
jdbcDriver.java: org.hsqldb Database.java: org.hsqldb 1->2: 17  2->1: 30
Column.java: org.hsqldb DatabaseScript.java: org.hsqldb 1->2: 59  2->1: 0
TableFilter.java: org.hsqldb Index.java: org.hsqldb 1->2: 6  2->1: 40
BinaryDatabaseRowOutput.java: org.hsqldb ByteArray.java: org.hsqldb 1->2: 1  2->1: 30
Table.java: org.hsqldb DatabaseInformation.java: org.hsqldb 1->2: 507  2->1: 0
Database.java: org.hsqldb DatabaseScript.java: org.hsqldb 1->2: 42  2->1: 5
jdbcResultSet.java: org.hsqldb WebServer.java: org.hsqldb 1->2: 2  2->1: 86
Trace.java: org.hsqldb Column.java: org.hsqldb 1->2: 93  2->1: 16
Cache.java: org.hsqldb Database.java: org.hsqldb 1->2: 63  2->1: 13
Row.java: org.hsqldb BinaryServerRowOutput.java: org.hsqldb 1->2: 57  2->1: 4
Function.java: org.hsqldb Session.java: org.hsqldb 1->2: 0  2->1: 24
Select.java: org.hsqldb Expression.java: org.hsqldb 1->2: 41  2->1: 209
TextTable.java: org.hsqldb Row.java: org.hsqldb 1->2: 4  2->1: 29
jdbcDriver.java: org.hsqldb jdbcConnection.java: org.hsqldb 1->2: 135  2->1: 9
Constraint.java: org.hsqldb Index.java: org.hsqldb 1->2: 3  2->1: 74
jdbcStatement.java: org.hsqldb jdbcPreparedStatement.java: org.hsqldb 1->2: 67  2->1: 58
Trace.java: org.hsqldb Cache.java: org.hsqldb 1->2: 96  2->1: 7
jdbcConnection.java: org.hsqldb WebServer.java: org.hsqldb 1->2: 0  2->1: 32
DatabaseManagerSwing.java: org.hsqldb.util Transfer.java: org.hsqldb.util 1->2: 30  2->1: 29
